# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 235         4.781       52.928      1.20        De Kooy     
# DDVEC     : Vectorgemiddelde windrichting in graden (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean wind direction in degrees (360=north; 90=east; 180=south; 270=west; 0=calm/variable)
# FHVEC     : Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean windspeed (in 0.1 m/s)
# FHX       : Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
# FHXH      : Uurvak waarin FHX is gemeten / Hourly division in which FHX was measured
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# STN,YYYYMMDD,DDVEC,FHVEC,  FHX, FHXH,   TG
  235,20190101,  310,   67,   90,    2,   80
  235,20190102,  350,   49,   70,    1,   60
  235,20190103,  344,   28,   40,   12,   50
  235,20190104,  314,   49,   60,    9,   63
  235,20190105,  319,   63,   80,    3,   78
  235,20190106,  309,   26,   50,    1,   64
  235,20190107,  254,   66,  120,   20,   82
  235,20190108,  315,  105,  130,    7,   76
  235,20190109,    2,   57,   70,    2,   56
  235,20190110,  286,   16,   50,   22,   50
  235,20190111,  318,   49,   70,   14,   76
  235,20190112,  276,   73,  100,   10,   79
  235,20190113,  288,   92,  120,   13,   86
  235,20190114,  321,   53,   70,    1,   57
  235,20190115,  253,   79,   90,    9,   75
  235,20190116,  229,   90,  120,   12,   71
  235,20190117,  300,   57,   90,    1,   46
  235,20190118,  192,   26,   50,   12,   14
  235,20190119,  140,   37,   50,   15,   -2
  235,20190120,   97,   18,   30,    1,   -9
  235,20190121,  213,   23,   60,   23,    7
  235,20190122,  174,   65,   80,    9,   -5
  235,20190123,  116,   19,   50,    1,   -7
  235,20190124,  124,   28,   40,    9,  -16
  235,20190125,  222,   34,   80,   15,   19
  235,20190126,  229,   78,  120,   22,   74
  235,20190127,  256,   67,  130,   19,   59
  235,20190128,  332,   64,   90,    6,   47
  235,20190129,  205,   42,   80,   12,   27
  235,20190130,  146,   20,   40,    1,    9
  235,20190131,  157,   23,   60,   12,   10
  235,20190201,   84,   54,   90,    5,    8
  235,20190202,   28,   27,   50,    5,   25
  235,20190203,  279,   23,   60,   22,   35
  235,20190204,  205,   85,  130,   16,   36
  235,20190205,  200,   43,   80,   24,   42
  235,20190206,  203,   62,   90,    3,   56
  235,20190207,  220,  101,  150,   15,   73
  235,20190208,  204,  130,  170,   22,   79
  235,20190209,  222,  113,  140,    9,   76
  235,20190210,  300,   23,   90,    1,   59
  235,20190211,  309,   54,   70,    1,   60
  235,20190212,  237,   55,   80,   13,   65
  235,20190213,  221,   67,   80,   11,   68
  235,20190214,  209,   33,   50,    1,   53
  235,20190215,  172,   31,   50,   11,   64
  235,20190216,  211,   52,   70,   10,   65
  235,20190217,  182,   41,   70,   21,   79
  235,20190218,  214,   45,   60,   10,   74
  235,20190219,  241,   64,   80,   12,   70
  235,20190220,  219,   70,  100,   12,   73
  235,20190221,  240,   51,   70,    4,   78
  235,20190222,  102,   12,   40,   22,   81
  235,20190223,  124,   36,   50,    7,   70
  235,20190224,   95,   10,   30,    8,   59
  235,20190225,   82,   10,   30,   15,   71
  235,20190226,   88,   11,   30,   12,   75
  235,20190227,  226,   23,   50,   12,   76
  235,20190228,  228,   34,   70,   14,   65
  235,20190301,  331,   26,   60,    5,   56
  235,20190302,  206,   62,  110,   23,   74
  235,20190303,  217,  105,  150,   21,   94
  235,20190304,  246,  106,  140,   13,   75
  235,20190305,  237,   74,  110,    1,   68
