# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 235         4.781       52.928      1.20        De Kooy     
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FF        : Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur / Mean wind speed (in 0.1 m/s) during the 10-minute period preceding the time of observation
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,H,   DD,   FF,    T
  235,20210906,    1,   90,   20,  150
  235,20210906,    2,   90,   20,  131
  235,20210906,    3,   90,   10,  131
  235,20210906,    4,  100,   10,  132
  235,20210906,    5,  110,   10,  128
  235,20210906,    6,  100,   10,  149
  235,20210906,    7,  130,   10,  165
  235,20210906,    8,  110,   10,  185
  235,20210906,    9,   80,   20,  200
  235,20210906,   10,   80,   30,  205
  235,20210906,   11,   50,   30,  205
  235,20210906,   12,   60,   20,  200
  235,20210906,   13,   40,   20,  207
  235,20210906,   14,   50,   20,  207
  235,20210906,   15,   50,   10,  200
  235,20210906,   16,   50,   20,  203
  235,20210906,   17,   40,   20,  191
  235,20210906,   18,   70,   20,  184
  235,20210906,   19,  100,   20,  181
  235,20210906,   20,  100,   10,  174
  235,20210906,   21,  110,   10,  176
  235,20210906,   22,    0,    0,  170
  235,20210906,   23,  150,   20,  165
  235,20210906,   24,  140,   20,  158
  235,20210907,    1,  150,   10,  145
  235,20210907,    2,  150,   20,  140
  235,20210907,    3,  150,   20,  139
  235,20210907,    4,  190,   10,  145
  235,20210907,    5,  150,   20,  144
  235,20210907,    6,  200,   20,  161
  235,20210907,    7,  210,   10,  172
  235,20210907,    8,  200,   20,  190
  235,20210907,    9,  210,   20,  213
  235,20210907,   10,  230,   30,  233
  235,20210907,   11,  240,   30,  238
  235,20210907,   12,  240,   30,  242
  235,20210907,   13,   20,   20,  244
  235,20210907,   14,   60,   20,  239
  235,20210907,   15,   40,   20,  241
  235,20210907,   16,  100,   30,  244
  235,20210907,   17,  110,   30,  232
  235,20210907,   18,  100,   30,  221
  235,20210907,   19,  110,   20,  207
  235,20210907,   20,  100,   20,  197
  235,20210907,   21,  100,   20,  200
  235,20210907,   22,  120,   20,  189
  235,20210907,   23,  110,   20,  185
  235,20210907,   24,  110,   30,  180
