Point ID;Date;Time;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L20001;2021-10-06;14:53:05;117235.224;559781.582;-1.426;2
L20002;2021-10-06;14:53:06;117235.181;559781.574;-1.435;2
L20003;2021-10-06;14:53:07;117235.192;559781.597;-1.427;2
L20004;2021-10-06;14:53:08;117235.253;559781.602;-1.432;2
L20005;2021-10-06;14:53:09;117235.027;559781.815;-1.425;2
L20006;2021-10-06;14:53:10;117234.818;559782.186;-1.417;2
L20007;2021-10-06;14:53:11;117234.679;559782.556;-1.433;2
L20008;2021-10-06;14:53:12;117234.406;559783.022;-1.448;2
L20009;2021-10-06;14:53:13;117234.224;559783.339;-1.445;2
L20010;2021-10-06;14:53:14;117234.012;559783.925;-1.43;2
L20011;2021-10-06;14:53:15;117233.698;559784.321;-1.436;2
L20012;2021-10-06;14:53:16;117233.39;559784.721;-1.446;2
L20013;2021-10-06;14:53:17;117233.075;559785.072;-1.439;2
L20014;2021-10-06;14:53:18;117232.84;559785.502;-1.436;2
L20015;2021-10-06;14:53:19;117232.479;559786.066;-1.426;2
L20016;2021-10-06;14:53:20;117232.209;559786.424;-1.416;2
L20017;2021-10-06;14:53:21;117231.907;559786.883;-1.414;2
L20018;2021-10-06;14:53:22;117231.444;559787.223;-1.425;2
L20019;2021-10-06;14:53:23;117231.219;559787.646;-1.439;2
L20020;2021-10-06;14:53:24;117230.794;559788;-1.446;2
L20021;2021-10-06;14:53:25;117230.509;559788.465;-1.424;2
L20022;2021-10-06;14:53:26;117230.211;559788.782;-1.446;2
L20023;2021-10-06;14:53:27;117229.811;559789.239;-1.455;2
L20024;2021-10-06;14:53:28;117229.479;559789.607;-1.476;2
L20025;2021-10-06;14:53:29;117229.145;559790.031;-1.456;2
L20026;2021-10-06;14:53:30;117228.909;559790.446;-1.478;2
L20027;2021-10-06;14:53:31;117228.586;559790.919;-1.471;2
L20028;2021-10-06;14:53:32;117228.285;559791.346;-1.455;2
L20029;2021-10-06;14:53:33;117227.889;559791.738;-1.455;2
L20030;2021-10-06;14:53:34;117227.675;559792.181;-1.455;2
L20031;2021-10-06;14:53:35;117227.25;559792.466;-1.467;2
L20032;2021-10-06;14:53:36;117227.029;559792.89;-1.437;2
L20033;2021-10-06;14:53:37;117226.671;559793.161;-1.447;2
L20034;2021-10-06;14:53:38;117226.329;559793.598;-1.424;2
L20035;2021-10-06;14:53:39;117226.026;559793.953;-1.447;2
L20036;2021-10-06;14:53:40;117225.769;559794.361;-1.439;2
L20037;2021-10-06;14:53:41;117225.364;559794.633;-1.443;2
L20038;2021-10-06;14:53:42;117225.02;559795.024;-1.442;2
L20039;2021-10-06;14:53:43;117224.678;559795.455;-1.446;2
L20040;2021-10-06;14:53:44;117224.39;559795.813;-1.44;2
L20041;2021-10-06;14:53:45;117224.041;559796.241;-1.435;2
L20042;2021-10-06;14:53:46;117223.632;559796.576;-1.43;2
L20043;2021-10-06;14:53:47;117223.266;559796.992;-1.42;2
L20044;2021-10-06;14:53:48;117222.843;559797.267;-1.432;2
L20045;2021-10-06;14:53:49;117222.414;559797.738;-1.408;2
L20046;2021-10-06;14:53:50;117222.083;559798.138;-1.404;2
L20047;2021-10-06;14:53:51;117221.706;559798.509;-1.407;2
L20048;2021-10-06;14:53:52;117221.465;559798.869;-1.4;2
L20049;2021-10-06;14:53:53;117221.073;559799.284;-1.402;2
L20050;2021-10-06;14:53:54;117220.797;559799.742;-1.375;2
L20051;2021-10-06;14:53:55;117220.429;559800.077;-1.375;2
L20052;2021-10-06;14:53:56;117220.08;559800.488;-1.361;2
L20053;2021-10-06;14:53:57;117219.699;559800.832;-1.405;2
L20054;2021-10-06;14:53:58;117219.226;559801.229;-1.399;2
L20055;2021-10-06;14:53:59;117218.919;559801.594;-1.373;2
L20056;2021-10-06;14:54:00;117218.533;559801.993;-1.375;2
L20057;2021-10-06;14:54:01;117218.211;559802.408;-1.342;2
L20058;2021-10-06;14:54:02;117217.865;559802.662;-1.34;2
L20059;2021-10-06;14:54:03;117217.465;559803.016;-1.379;2
L20060;2021-10-06;14:54:04;117217.067;559803.411;-1.328;2
L20061;2021-10-06;14:54:05;117216.719;559803.787;-1.331;2
L20062;2021-10-06;14:54:06;117216.424;559804.227;-1.324;2
L20063;2021-10-06;14:54:07;117216.062;559804.618;-1.343;2
L20064;2021-10-06;14:54:08;117215.465;559805.17;-1.332;2
L20065;2021-10-06;14:54:09;117215.266;559805.514;-1.318;2
L20066;2021-10-06;14:54:10;117214.807;559805.87;-1.313;2
L20067;2021-10-06;14:54:11;117214.45;559806.279;-1.317;2
L20068;2021-10-06;14:54:12;117213.799;559806.752;-1.32;2
L20069;2021-10-06;14:54:13;117213.41;559807.068;-1.341;2
L20070;2021-10-06;14:54:14;117213.085;559807.472;-1.322;2
L20071;2021-10-06;14:54:15;117212.793;559807.768;-1.309;2
L20072;2021-10-06;14:54:16;117212.576;559808.216;-1.314;2
L20073;2021-10-06;14:54:17;117212.084;559808.672;-1.295;2
L20074;2021-10-06;14:54:18;117211.75;559809.119;-1.285;2
L20075;2021-10-06;14:54:19;117211.309;559809.55;-1.277;2
L20076;2021-10-06;14:54:20;117211.045;559810.03;-1.256;2
L20077;2021-10-06;14:54:21;117210.696;559810.4;-1.257;2
L20078;2021-10-06;14:54:22;117210.411;559810.821;-1.279;2
L20079;2021-10-06;14:54:23;117209.908;559811.244;-1.255;2
L20080;2021-10-06;14:54:24;117209.516;559811.706;-1.243;2
L20081;2021-10-06;14:54:25;117209.098;559812.104;-1.245;2
L20082;2021-10-06;14:54:26;117208.811;559812.584;-1.228;2
L20083;2021-10-06;14:54:27;117208.449;559812.875;-1.251;2
L20084;2021-10-06;14:54:28;117208.149;559813.311;-1.207;2
L20085;2021-10-06;14:54:29;117207.695;559813.703;-1.224;2
L20086;2021-10-06;14:54:30;117207.353;559814.207;-1.202;2
L20087;2021-10-06;14:54:31;117206.925;559814.562;-1.221;2
L20088;2021-10-06;14:54:32;117206.67;559815.084;-1.215;2
L20089;2021-10-06;14:54:33;117206.212;559815.502;-1.233;2
L20090;2021-10-06;14:54:34;117205.906;559815.962;-1.202;2
L20091;2021-10-06;14:54:35;117205.387;559816.32;-1.147;2
L20092;2021-10-06;14:54:36;117205.145;559816.672;-1.115;2
L20093;2021-10-06;14:54:37;117204.698;559816.946;-1.026;2
L20094;2021-10-06;14:54:38;117204.371;559817.334;-0.982;2
L20095;2021-10-06;14:54:39;117204.031;559817.531;-0.923;2
L20096;2021-10-06;14:54:40;117203.718;559817.804;-0.894;2
L20097;2021-10-06;14:54:41;117203.408;559818.165;-0.836;2
L20098;2021-10-06;14:54:42;117203.151;559818.604;-0.805;2
L20099;2021-10-06;14:54:43;117202.786;559819.012;-0.8;2
L20100;2021-10-06;14:54:44;117202.317;559819.125;-0.633;2
