Point ID;GNSS Position Solution.Start Time;;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;13-10-2021 19:07;;117449.307;560044.486;-1.432;2
L100002;13-10-2021 19:07;;117449.265;560044.52;-1.437;2
L100003;13-10-2021 19:07;;117448.914;560044.7;-1.419;2
L100004;13-10-2021 19:07;;117448.386;560044.926;-1.427;2
L100005;13-10-2021 19:07;;117447.912;560045.244;-1.426;2
L100006;13-10-2021 19:07;;117447.403;560045.413;-1.437;2
L100007;13-10-2021 19:07;;117446.959;560045.519;-1.428;2
L100008;13-10-2021 19:07;;117446.408;560045.749;-1.427;2
L100009;13-10-2021 19:07;;117445.873;560046.048;-1.417;2
L100010;13-10-2021 19:07;;117445.315;560046.313;-1.427;2
L100011;13-10-2021 19:07;;117444.71;560046.489;-1.425;2
L100012;13-10-2021 19:07;;117444.103;560046.794;-1.41;2
L100013;13-10-2021 19:07;;117443.547;560047.118;-1.41;2
L100014;13-10-2021 19:07;;117442.975;560047.361;-1.416;2
L100015;13-10-2021 19:07;;117442.399;560047.641;-1.41;2
L100016;13-10-2021 19:07;;117441.699;560047.911;-1.42;2
L100017;13-10-2021 19:07;;117441.045;560048.219;-1.415;2
L100018;13-10-2021 19:07;;117440.404;560048.509;-1.433;2
L100019;13-10-2021 19:07;;117439.884;560048.795;-1.417;2
L100020;13-10-2021 19:07;;117439.247;560049.019;-1.417;2
L100021;13-10-2021 19:07;;117438.639;560049.304;-1.437;2
L100022;13-10-2021 19:07;;117438.076;560049.623;-1.454;2
L100023;13-10-2021 19:07;;117437.499;560049.86;-1.445;2
L100024;13-10-2021 19:07;;117436.861;560050.117;-1.453;2
L100025;13-10-2021 19:07;;117436.195;560050.418;-1.452;2
L100026;13-10-2021 19:07;;117435.594;560050.697;-1.448;2
L100027;13-10-2021 19:07;;117434.949;560050.939;-1.455;2
L100028;13-10-2021 19:07;;117434.309;560051.141;-1.453;2
L100029;13-10-2021 19:07;;117433.716;560051.417;-1.437;2
L100030;13-10-2021 19:07;;117433.047;560051.624;-1.429;2
L100031;13-10-2021 19:07;;117432.455;560051.853;-1.412;2
L100032;13-10-2021 19:08;;117431.828;560052.139;-1.387;2
L100033;13-10-2021 19:08;;117431.234;560052.298;-1.368;2
L100034;13-10-2021 19:08;;117430.687;560052.59;-1.344;2
L100035;13-10-2021 19:08;;117429.969;560052.751;-1.294;2
L100036;13-10-2021 19:08;;117429.349;560053.021;-1.268;2
L100037;13-10-2021 19:08;;117428.734;560053.241;-1.236;2
L100038;13-10-2021 19:08;;117428.197;560053.445;-1.216;2
L100039;13-10-2021 19:08;;117427.653;560053.681;-1.142;2
L100040;13-10-2021 19:08;;117427.055;560054.054;-1.042;2
L100041;13-10-2021 19:08;;117426.362;560054.386;-0.945;2
L100042;13-10-2021 19:08;;117425.711;560054.708;-0.87;2
L100043;13-10-2021 19:08;;117425.002;560054.944;-0.761;2
L100044;13-10-2021 19:08;;117424.088;560055.404;-0.659;2
L100045;13-10-2021 19:08;;117423.614;560055.769;-0.59;2
L100046;13-10-2021 19:08;;117422.818;560056.248;-0.493;2
L100047;13-10-2021 19:08;;117422.107;560056.683;-0.376;2
L100048;13-10-2021 19:08;;117421.266;560057.112;-0.257;2
L100049;13-10-2021 19:08;;117420.215;560057.546;-0.15;2
L100050;13-10-2021 19:08;;117419.115;560058.092;-0.051;2
L100051;13-10-2021 19:08;;117417.844;560058.737;0.045;2
L100052;13-10-2021 19:08;;117417.088;560059.098;0.1;2
L100053;13-10-2021 19:08;;117415.809;560059.64;0.173;2
L100054;13-10-2021 19:08;;117414.602;560060.228;0.22;2
L100055;13-10-2021 19:08;;117413.482;560060.785;0.295;2
L100056;13-10-2021 19:08;;117412.391;560061.314;0.373;2
L100057;13-10-2021 19:08;;117411.363;560061.798;0.436;2
L100058;13-10-2021 19:08;;117410.306;560062.245;0.464;2
L100059;13-10-2021 19:08;;117409.247;560062.762;0.514;2
L100060;13-10-2021 19:08;;117408.11;560063.378;0.52;2
L100061;13-10-2021 19:08;;117406.983;560063.953;0.581;2
L100062;13-10-2021 19:08;;117405.894;560064.476;0.731;2
L100063;13-10-2021 19:08;;117404.843;560065.082;0.858;2
L100064;13-10-2021 19:08;;117403.831;560065.64;0.909;2
L100065;13-10-2021 19:08;;117402.872;560066.242;0.984;2
L100066;13-10-2021 19:08;;117401.784;560066.831;0.995;2
L100067;13-10-2021 19:08;;117400.694;560067.414;1.054;2
L100068;13-10-2021 19:08;;117399.542;560068.039;1.063;2
L100069;13-10-2021 19:08;;117398.467;560068.688;1.032;2
L100070;13-10-2021 19:08;;117397.411;560069.403;0.798;2
L100071;13-10-2021 19:08;;117396.255;560070.093;0.768;2
L100072;13-10-2021 19:08;;117395.063;560070.839;0.738;2
L100073;13-10-2021 19:08;;117393.796;560071.58;0.705;2
L100074;13-10-2021 19:08;;117392.729;560072.237;0.709;2
L100075;13-10-2021 19:08;;117391.692;560073.031;0.773;2
L100076;13-10-2021 19:08;;117390.728;560073.683;0.908;2
L100077;13-10-2021 19:08;;117389.756;560074.241;0.986;2
L200001;13-10-2021 18:45;;117238.3;559778.718;-1.416;2
L200002;13-10-2021 18:45;;117238.263;559778.797;-1.416;2
L200003;13-10-2021 18:45;;117237.932;559779.117;-1.425;2
L200004;13-10-2021 18:45;;117237.618;559779.482;-1.428;2
L200005;13-10-2021 18:45;;117237.252;559779.892;-1.438;2
L200006;13-10-2021 18:45;;117236.879;559780.291;-1.431;2
L200007;13-10-2021 18:45;;117236.378;559780.8;-1.41;2
L200008;13-10-2021 18:45;;117235.898;559781.203;-1.419;2
L200009;13-10-2021 18:45;;117235.532;559781.647;-1.411;2
L200010;13-10-2021 18:45;;117235.082;559782.104;-1.406;2
L200011;13-10-2021 18:45;;117234.579;559782.59;-1.421;2
L200012;13-10-2021 18:45;;117234.06;559783.083;-1.4;2
L200013;13-10-2021 18:45;;117233.589;559783.649;-1.404;2
L200014;13-10-2021 18:45;;117233.063;559784.154;-1.395;2
L200015;13-10-2021 18:45;;117232.544;559784.687;-1.39;2
L200016;13-10-2021 18:45;;117232.033;559785.284;-1.388;2
L200017;13-10-2021 18:45;;117231.542;559785.804;-1.394;2
L200018;13-10-2021 18:45;;117231.061;559786.345;-1.403;2
L200019;13-10-2021 18:45;;117230.565;559786.82;-1.397;2
L200020;13-10-2021 18:45;;117230.078;559787.274;-1.399;2
L200021;13-10-2021 18:45;;117229.567;559787.883;-1.421;2
L200022;13-10-2021 18:45;;117229.124;559788.253;-1.417;2
L200023;13-10-2021 18:45;;117228.543;559788.821;-1.418;2
L200024;13-10-2021 18:45;;117228.219;559789.195;-1.425;2
L200025;13-10-2021 18:45;;117227.71;559789.736;-1.446;2
L200026;13-10-2021 18:45;;117227.337;559790.132;-1.431;2
L200027;13-10-2021 18:45;;117226.888;559790.696;-1.435;2
L200028;13-10-2021 18:45;;117226.449;559791.208;-1.425;2
L200029;13-10-2021 18:45;;117225.927;559791.668;-1.442;2
L200030;13-10-2021 18:45;;117225.542;559792.083;-1.41;2
L200031;13-10-2021 18:45;;117225.05;559792.681;-1.42;2
L200032;13-10-2021 18:45;;117224.538;559793.182;-1.416;2
L200033;13-10-2021 18:45;;117224.08;559793.679;-1.418;2
L200034;13-10-2021 18:45;;117223.613;559794.146;-1.399;2
L200035;13-10-2021 18:45;;117223.137;559794.693;-1.401;2
L200036;13-10-2021 18:46;;117222.62;559795.221;-1.414;2
L200037;13-10-2021 18:46;;117222.087;559795.721;-1.398;2
L200038;13-10-2021 18:46;;117221.664;559796.139;-1.384;2
L200039;13-10-2021 18:46;;117221.195;559796.664;-1.398;2
L200040;13-10-2021 18:46;;117220.726;559797.228;-1.381;2
L200041;13-10-2021 18:46;;117220.149;559797.805;-1.369;2
L200042;13-10-2021 18:46;;117219.656;559798.287;-1.353;2
L200043;13-10-2021 18:46;;117219.113;559798.639;-1.356;2
L200044;13-10-2021 18:46;;117218.676;559799.134;-1.357;2
L200045;13-10-2021 18:46;;117218.195;559799.773;-1.356;2
L200046;13-10-2021 18:46;;117217.6;559800.256;-1.348;2
L200047;13-10-2021 18:46;;117217.118;559800.751;-1.333;2
L200048;13-10-2021 18:46;;117216.578;559801.209;-1.337;2
L200049;13-10-2021 18:46;;117216.115;559801.723;-1.317;2
L200050;13-10-2021 18:46;;117215.559;559802.265;-1.31;2
L200051;13-10-2021 18:46;;117215.036;559802.744;-1.305;2
L200052;13-10-2021 18:46;;117214.588;559803.311;-1.303;2
L200053;13-10-2021 18:46;;117214.013;559803.821;-1.294;2
L200054;13-10-2021 18:46;;117213.505;559804.302;-1.293;2
L200055;13-10-2021 18:46;;117212.944;559804.851;-1.309;2
L200056;13-10-2021 18:46;;117212.398;559805.421;-1.316;2
L200057;13-10-2021 18:46;;117211.828;559805.959;-1.314;2
L200058;13-10-2021 18:46;;117211.312;559806.43;-1.304;2
L200059;13-10-2021 18:46;;117210.845;559806.937;-1.294;2
L200060;13-10-2021 18:46;;117210.286;559807.447;-1.281;2
L200061;13-10-2021 18:46;;117209.703;559807.922;-1.29;2
L200062;13-10-2021 18:46;;117209.151;559808.419;-1.266;2
L200063;13-10-2021 18:46;;117208.662;559808.944;-1.263;2
L200064;13-10-2021 18:46;;117208.086;559809.368;-1.244;2
L200065;13-10-2021 18:46;;117207.58;559809.85;-1.24;2
L200066;13-10-2021 18:46;;117207.033;559810.42;-1.225;2
L200067;13-10-2021 18:46;;117206.464;559811.019;-1.221;2
L200068;13-10-2021 18:46;;117205.917;559811.571;-1.204;2
L200069;13-10-2021 18:46;;117205.458;559812.101;-1.191;2
L200070;13-10-2021 18:46;;117204.875;559812.543;-1.189;2
L200071;13-10-2021 18:46;;117204.373;559813.165;-1.191;2
L200072;13-10-2021 18:46;;117203.822;559813.782;-1.171;2
L200073;13-10-2021 18:46;;117203.229;559814.288;-1.143;2
L200074;13-10-2021 18:46;;117202.835;559814.76;-1.06;2
L200075;13-10-2021 18:46;;117202.318;559815.33;-0.971;2
L200076;13-10-2021 18:46;;117201.87;559815.816;-0.843;2
L200077;13-10-2021 18:46;;117201.356;559816.277;-0.782;2
L200078;13-10-2021 18:46;;117200.805;559816.88;-0.705;2
L200079;13-10-2021 18:46;;117200.505;559817.326;-0.594;2
L200080;13-10-2021 18:46;;117200.079;559817.857;-0.54;2
L200081;13-10-2021 18:46;;117199.595;559818.41;-0.441;2
L200082;13-10-2021 18:46;;117198.993;559819.036;-0.354;2
L200083;13-10-2021 18:46;;117198.337;559819.73;-0.256;2
L200084;13-10-2021 18:46;;117197.597;559820.439;-0.145;2
L200085;13-10-2021 18:46;;117196.742;559821.218;-0.049;2
L200086;13-10-2021 18:46;;117195.85;559822.016;0.056;2
L200087;13-10-2021 18:46;;117195.006;559822.784;0.139;2
L200088;13-10-2021 18:46;;117194.058;559823.589;0.219;2
L200089;13-10-2021 18:46;;117193.185;559824.444;0.318;2
L200090;13-10-2021 18:46;;117192.348;559825.258;0.387;2
L200091;13-10-2021 18:46;;117191.467;559826.086;0.446;2
L200092;13-10-2021 18:46;;117190.623;559827.039;0.517;2
L200093;13-10-2021 18:46;;117189.765;559827.861;0.583;2
L200094;13-10-2021 18:46;;117188.9;559828.761;0.656;2
L200095;13-10-2021 18:46;;117188.002;559829.724;0.684;2
L200096;13-10-2021 18:47;;117187.212;559830.614;0.767;2
L200097;13-10-2021 18:47;;117186.376;559831.471;0.867;2
L200098;13-10-2021 18:47;;117185.583;559832.294;0.972;2
L200099;13-10-2021 18:47;;117184.74;559833.077;1.045;2
L200100;13-10-2021 18:47;;117183.924;559833.953;1.124;2
L200101;13-10-2021 18:47;;117183.126;559834.836;1.163;2
L200102;13-10-2021 18:47;;117182.254;559835.711;1.058;2
L200103;13-10-2021 18:47;;117181.465;559836.504;1.177;2
L200104;13-10-2021 18:47;;117180.6;559837.451;1.158;2
L200105;13-10-2021 18:47;;117179.778;559838.35;1.258;2
L200106;13-10-2021 18:47;;117178.837;559839.199;1.315;2
L200107;13-10-2021 18:47;;117177.909;559840.043;1.366;2
L200108;13-10-2021 18:47;;117177.049;559840.914;1.417;2
L200109;13-10-2021 18:47;;117176.168;559841.797;1.461;2
L200110;13-10-2021 18:47;;117175.341;559842.66;1.528;2
L200111;13-10-2021 18:47;;117174.55;559843.527;1.563;2
L300001;13-10-2021 18:17;;116866.899;559507.282;-1.653;2
L300002;13-10-2021 18:17;;116866.655;559507.507;-1.646;2
L300003;13-10-2021 18:17;;116866.338;559507.805;-1.643;2
L300004;13-10-2021 18:17;;116866.131;559508.115;-1.643;2
L300005;13-10-2021 18:17;;116865.966;559508.401;-1.612;2
L300006;13-10-2021 18:17;;116865.635;559508.708;-1.643;2
L300007;13-10-2021 18:17;;116865.418;559509.045;-1.633;2
L300008;13-10-2021 18:17;;116865.163;559509.475;-1.636;2
L300009;13-10-2021 18:17;;116864.846;559509.809;-1.63;2
L300010;13-10-2021 18:17;;116864.555;559510.222;-1.618;2
L300011;13-10-2021 18:17;;116864.335;559510.703;-1.618;2
L300012;13-10-2021 18:17;;116863.984;559511.072;-1.611;2
L300013;13-10-2021 18:17;;116863.707;559511.458;-1.638;2
L300014;13-10-2021 18:17;;116863.324;559511.829;-1.626;2
L300015;13-10-2021 18:17;;116863.085;559512.303;-1.613;2
L300016;13-10-2021 18:18;;116862.852;559512.638;-1.604;2
L300017;13-10-2021 18:18;;116862.644;559512.975;-1.61;2
L300018;13-10-2021 18:18;;116862.333;559513.313;-1.609;2
L300019;13-10-2021 18:18;;116862.036;559513.711;-1.599;2
L300020;13-10-2021 18:18;;116861.732;559514.066;-1.598;2
L300021;13-10-2021 18:18;;116861.401;559514.49;-1.599;2
L300022;13-10-2021 18:18;;116861.119;559514.884;-1.594;2
L300023;13-10-2021 18:18;;116860.824;559515.305;-1.597;2
L300024;13-10-2021 18:18;;116860.62;559515.736;-1.576;2
L300025;13-10-2021 18:18;;116860.415;559516.066;-1.58;2
L300026;13-10-2021 18:18;;116860.053;559516.403;-1.591;2
L300027;13-10-2021 18:18;;116859.725;559516.857;-1.591;2
L300028;13-10-2021 18:18;;116859.464;559517.333;-1.577;2
L300029;13-10-2021 18:18;;116859.222;559517.747;-1.571;2
L300030;13-10-2021 18:18;;116858.926;559518.126;-1.553;2
L300031;13-10-2021 18:18;;116858.585;559518.554;-1.541;2
L300032;13-10-2021 18:18;;116858.298;559519.03;-1.54;2
L300033;13-10-2021 18:18;;116857.913;559519.556;-1.537;2
L300034;13-10-2021 18:18;;116857.501;559520.106;-1.53;2
L300035;13-10-2021 18:18;;116857.199;559520.514;-1.526;2
L300036;13-10-2021 18:18;;116856.937;559520.95;-1.511;2
L300037;13-10-2021 18:18;;116856.643;559521.433;-1.501;2
L300038;13-10-2021 18:18;;116856.357;559521.876;-1.479;2
L300039;13-10-2021 18:18;;116856.026;559522.239;-1.463;2
L300040;13-10-2021 18:18;;116855.709;559522.72;-1.455;2
L300041;13-10-2021 18:18;;116855.302;559523.229;-1.45;2
L300042;13-10-2021 18:18;;116855.02;559523.725;-1.444;2
L300043;13-10-2021 18:18;;116854.646;559524.116;-1.433;2
