Point ID;GNSS Position Solution.Start;Time;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;16-9-2021 00:00;10:32:26;117449.498;560044.505;-1.433;2
L100002;16-9-2021 00:00;10:32:27;117449.507;560044.469;-1.425;2
L100003;16-9-2021 00:00;10:32:28;117449.518;560044.487;-1.42;2
L100004;16-9-2021 00:00;10:32:29;117449.379;560044.492;-1.418;2
L100005;16-9-2021 00:00;10:32:30;117449.078;560044.668;-1.414;2
L100006;16-9-2021 00:00;10:32:31;117448.68;560044.844;-1.428;2
L100007;16-9-2021 00:00;10:32:32;117448.314;560045.018;-1.4;2
L100008;16-9-2021 00:00;10:32:33;117447.898;560045.128;-1.414;2
L100009;16-9-2021 00:00;10:32:34;117447.445;560045.312;-1.417;2
L100010;16-9-2021 00:00;10:32:35;117447.069;560045.544;-1.413;2
L100011;16-9-2021 00:00;10:32:36;117446.65;560045.728;-1.42;2
L100012;16-9-2021 00:00;10:32:37;117446.201;560045.923;-1.402;2
L100013;16-9-2021 00:00;10:32:38;117445.804;560046.199;-1.402;2
L100014;16-9-2021 00:00;10:32:39;117445.398;560046.38;-1.369;2
L100015;16-9-2021 00:00;10:32:40;117444.915;560046.624;-1.397;2
L100016;16-9-2021 00:00;10:32:41;117444.465;560046.847;-1.403;2
L100017;16-9-2021 00:00;10:32:42;117444.045;560047.059;-1.418;2
L100018;16-9-2021 00:00;10:32:43;117443.593;560047.301;-1.419;2
L100019;16-9-2021 00:00;10:32:44;117443.213;560047.54;-1.424;2
L100020;16-9-2021 00:00;10:32:45;117442.754;560047.752;-1.416;2
L100021;16-9-2021 00:00;10:32:46;117442.234;560047.967;-1.43;2
L100022;16-9-2021 00:00;10:32:47;117441.829;560048.214;-1.422;2
L100023;16-9-2021 00:00;10:32:48;117441.316;560048.394;-1.431;2
L100024;16-9-2021 00:00;10:32:49;117440.879;560048.595;-1.432;2
L100025;16-9-2021 00:00;10:32:50;117440.386;560048.898;-1.436;2
L100026;16-9-2021 00:00;10:32:51;117439.891;560049.084;-1.441;2
L100027;16-9-2021 00:00;10:32:52;117439.43;560049.322;-1.443;2
L100028;16-9-2021 00:00;10:32:53;117438.889;560049.57;-1.45;2
L100029;16-9-2021 00:00;10:32:54;117438.419;560049.734;-1.448;2
L100030;16-9-2021 00:00;10:32:55;117437.975;560049.98;-1.441;2
L100031;16-9-2021 00:00;10:32:56;117437.472;560050.228;-1.441;2
L100032;16-9-2021 00:00;10:32:57;117436.957;560050.434;-1.438;2
L100033;16-9-2021 00:00;10:32:58;117436.492;560050.713;-1.431;2
L100034;16-9-2021 00:00;10:32:59;117435.958;560050.884;-1.429;2
L100035;16-9-2021 00:00;10:33:00;117435.444;560051.164;-1.433;2
L100036;16-9-2021 00:00;10:33:01;117434.985;560051.354;-1.428;2
L100037;16-9-2021 00:00;10:33:02;117434.476;560051.572;-1.42;2
L100038;16-9-2021 00:00;10:33:03;117433.918;560051.832;-1.426;2
L100039;16-9-2021 00:00;10:33:04;117433.447;560052.075;-1.42;2
L100040;16-9-2021 00:00;10:33:05;117432.93;560052.253;-1.414;2
L100041;16-9-2021 00:00;10:33:06;117432.434;560052.581;-1.389;2
L100042;16-9-2021 00:00;10:33:07;117431.976;560052.865;-1.376;2
L100043;16-9-2021 00:00;10:33:08;117431.422;560053.043;-1.352;2
L100044;16-9-2021 00:00;10:33:09;117430.928;560053.327;-1.33;2
L100045;16-9-2021 00:00;10:33:10;117430.43;560053.594;-1.286;2
L100046;16-9-2021 00:00;10:33:11;117429.93;560053.831;-1.256;2
L100047;16-9-2021 00:00;10:33:12;117429.506;560054.04;-1.235;2
L100048;16-9-2021 00:00;10:33:13;117428.862;560054.38;-1.195;2
L100049;16-9-2021 00:00;10:33:14;117428.265;560054.617;-1.163;2
L100050;16-9-2021 00:00;10:33:15;117427.703;560054.841;-1.129;2
L100051;16-9-2021 00:00;10:33:16;117427.186;560055.082;-1.102;2
L100052;16-9-2021 00:00;10:33:17;117426.693;560055.332;-1.081;2
L100053;16-9-2021 00:00;10:33:18;117426.136;560055.574;-1.057;2
L100054;16-9-2021 00:00;10:33:19;117425.47;560055.778;-1.041;2
L100055;16-9-2021 00:00;10:33:20;117424.898;560056.059;-0.999;2
L100056;16-9-2021 00:00;10:33:21;117424.327;560056.276;-0.916;2
L100057;16-9-2021 00:00;10:33:22;117423.768;560056.573;-0.845;2
L100058;16-9-2021 00:00;10:33:23;117423.184;560056.834;-0.769;2
L100059;16-9-2021 00:00;10:33:24;117422.595;560057.048;-0.72;2
L100060;16-9-2021 00:00;10:33:25;117421.978;560057.285;-0.655;2
L100061;16-9-2021 00:00;10:33:26;117421.309;560057.548;-0.551;2
L100062;16-9-2021 00:00;10:33:27;117420.578;560057.868;-0.486;2
L100063;16-9-2021 00:00;10:33:28;117419.814;560058.182;-0.402;2
L100064;16-9-2021 00:00;10:33:29;117418.928;560058.582;-0.295;2
L100065;16-9-2021 00:00;10:33:30;117417.855;560058.99;-0.206;2
L100066;16-9-2021 00:00;10:33:31;117416.898;560059.358;-0.104;2
L100067;16-9-2021 00:00;10:33:32;117415.932;560059.682;0.024;2
L100068;16-9-2021 00:00;10:33:33;117414.945;560060.06;0.148;2
L100069;16-9-2021 00:00;10:33:34;117413.965;560060.42;0.28;2
L100070;16-9-2021 00:00;10:33:35;117412.917;560060.752;0.415;2
L100071;16-9-2021 00:00;10:33:36;117411.998;560061.057;0.545;2
