Point ID;GNSS Position Solution.Start Time;;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;17-9-2021 11:43;;117467.621;560036.931;-1.389;2
L100002;17-9-2021 11:43;;117467.093;560037.015;-1.401;2
L100003;17-9-2021 11:43;;117466.579;560037.238;-1.395;2
L100004;17-9-2021 11:43;;117466.069;560037.444;-1.403;2
L100005;17-9-2021 11:43;;117465.546;560037.628;-1.409;2
L100006;17-9-2021 11:43;;117464.911;560037.826;-1.411;2
L100007;17-9-2021 11:43;;117464.356;560038.109;-1.407;2
L100008;17-9-2021 11:43;;117463.603;560038.211;-1.407;2
L100009;17-9-2021 11:43;;117463.091;560038.149;-1.409;2
L100010;17-9-2021 11:43;;117462.327;560038.418;-1.426;2
L100011;17-9-2021 11:43;;117461.684;560038.638;-1.425;2
L100012;17-9-2021 11:43;;117461.006;560038.623;-1.421;2
L100013;17-9-2021 11:43;;117460.414;560038.817;-1.421;2
L100014;17-9-2021 11:43;;117459.821;560039.092;-1.429;2
L100015;17-9-2021 11:43;;117459.265;560039.476;-1.415;2
L100016;17-9-2021 11:43;;117458.776;560039.817;-1.419;2
L100017;17-9-2021 11:43;;117458.2;560040.12;-1.416;2
L100018;17-9-2021 11:43;;117457.516;560040.481;-1.409;2
L100019;17-9-2021 11:43;;117456.928;560040.777;-1.416;2
L100020;17-9-2021 11:43;;117456.359;560041.106;-1.439;2
L100021;17-9-2021 11:43;;117455.777;560041.423;-1.426;2
L100022;17-9-2021 11:43;;117455.196;560041.736;-1.425;2
L100023;17-9-2021 11:43;;117454.564;560042.032;-1.438;2
L100024;17-9-2021 11:43;;117453.94;560042.271;-1.441;2
L100025;17-9-2021 11:43;;117453.357;560042.593;-1.436;2
L100026;17-9-2021 11:43;;117452.706;560042.837;-1.432;2
L100027;17-9-2021 11:43;;117452.068;560043.187;-1.424;2
L100028;17-9-2021 11:43;;117451.441;560043.481;-1.441;2
L100029;17-9-2021 11:43;;117450.751;560043.737;-1.447;2
L100030;17-9-2021 11:43;;117450.082;560043.985;-1.43;2
L100031;17-9-2021 11:43;;117449.371;560044.271;-1.431;2
L100032;17-9-2021 11:43;;117448.736;560044.539;-1.443;2
L100033;17-9-2021 11:43;;117448.066;560044.746;-1.441;2
L100034;17-9-2021 11:43;;117447.448;560045.06;-1.447;2
L100035;17-9-2021 11:43;;117446.76;560045.291;-1.429;2
L100036;17-9-2021 11:43;;117446.047;560045.533;-1.434;2
L100037;17-9-2021 11:43;;117445.347;560045.787;-1.421;2
L100038;17-9-2021 11:43;;117444.637;560046.043;-1.429;2
L100039;17-9-2021 11:43;;117443.969;560046.334;-1.416;2
L100040;17-9-2021 11:43;;117443.286;560046.604;-1.433;2
L100041;17-9-2021 11:43;;117442.64;560046.943;-1.437;2
L100042;17-9-2021 11:43;;117442.053;560047.252;-1.439;2
L100043;17-9-2021 11:44;;117441.356;560047.589;-1.442;2
L100044;17-9-2021 11:44;;117440.612;560047.803;-1.428;2
L100045;17-9-2021 11:44;;117439.927;560048.09;-1.432;2
L100046;17-9-2021 11:44;;117439.248;560048.288;-1.448;2
L100047;17-9-2021 11:44;;117438.64;560048.642;-1.449;2
L100048;17-9-2021 11:44;;117437.946;560048.885;-1.437;2
L100049;17-9-2021 11:44;;117437.304;560049.208;-1.441;2
L100050;17-9-2021 11:44;;117436.605;560049.422;-1.447;2
L100051;17-9-2021 11:44;;117435.942;560049.713;-1.442;2
L100052;17-9-2021 11:44;;117435.23;560049.948;-1.455;2
L100053;17-9-2021 11:44;;117434.504;560050.277;-1.46;2
L100054;17-9-2021 11:44;;117433.832;560050.57;-1.453;2
L100055;17-9-2021 11:44;;117433.014;560050.713;-1.428;2
L100056;17-9-2021 11:44;;117432.393;560050.964;-1.409;2
L100057;17-9-2021 11:44;;117431.712;560051.093;-1.403;2
L100058;17-9-2021 11:44;;117431.042;560051.339;-1.378;2
L100059;17-9-2021 11:44;;117430.4;560051.557;-1.33;2
L100060;17-9-2021 11:44;;117429.716;560051.847;-1.293;2
L100061;17-9-2021 11:44;;117428.986;560052.115;-1.261;2
L100062;17-9-2021 11:44;;117428.212;560052.385;-1.218;2
L100063;17-9-2021 11:44;;117427.453;560052.667;-1.184;2
L100064;17-9-2021 11:44;;117426.689;560052.822;-1.132;2
L100065;17-9-2021 11:44;;117425.954;560053.117;-1.108;2
L100066;17-9-2021 11:44;;117425.173;560053.393;-1.071;2
L100067;17-9-2021 11:44;;117424.422;560053.609;-1.066;2
L100068;17-9-2021 11:44;;117423.601;560053.922;-1.004;2
L100069;17-9-2021 11:44;;117422.861;560054.053;-0.898;2
L100070;17-9-2021 11:44;;117422.145;560054.299;-0.799;2
L100071;17-9-2021 11:44;;117421.311;560054.645;-0.72;2
L100072;17-9-2021 11:44;;117420.463;560055.044;-0.649;2
L100073;17-9-2021 11:44;;117419.632;560055.519;-0.503;2
L100074;17-9-2021 11:44;;117418.694;560055.938;-0.399;2
L100075;17-9-2021 11:44;;117417.51;560056.417;-0.276;2
L100076;17-9-2021 11:44;;117416.395;560056.868;-0.164;2
