Point ID;GNSS.Position.Solution.;Start.Time;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;2021-09-19;15:07:57;117449.855;560044.782;-1.434;2
L100002;2021-09-19;15:07:58;117449.832;560044.838;-1.452;2
L100003;2021-09-19;15:07:59;117449.441;560045.182;-1.429;2
L100004;2021-09-19;15:08:00;117448.692;560045.273;-1.414;2
L100005;2021-09-19;15:08:01;117447.969;560045.656;-1.427;2
L100006;2021-09-19;15:08:02;117447.154;560046.032;-1.4;2
L100007;2021-09-19;15:08:03;117446.358;560046.28;-1.395;2
L100008;2021-09-19;15:08:04;117445.443;560046.652;-1.406;2
L100009;2021-09-19;15:08:05;117444.547;560047.036;-1.41;2
L100010;2021-09-19;15:08:06;117443.715;560047.477;-1.422;2
L100011;2021-09-19;15:08:07;117442.773;560047.827;-1.424;2
L100012;2021-09-19;15:08:08;117441.852;560048.25;-1.422;2
L100013;2021-09-19;15:08:09;117440.946;560048.512;-1.434;2
L100014;2021-09-19;15:08:10;117439.989;560048.994;-1.443;2
L100015;2021-09-19;15:08:11;117439.175;560049.487;-1.447;2
L100016;2021-09-19;15:08:12;117438.303;560049.934;-1.456;2
L100017;2021-09-19;15:08:13;117437.406;560050.38;-1.455;2
L100018;2021-09-19;15:08:14;117436.621;560050.859;-1.453;2
L100019;2021-09-19;15:08:15;117435.753;560051.369;-1.438;2
L100020;2021-09-19;15:08:16;117434.941;560051.885;-1.43;2
L100021;2021-09-19;15:08:17;117434.025;560052.202;-1.444;2
L100022;2021-09-19;15:08:18;117433.178;560052.699;-1.432;2
L100023;2021-09-19;15:08:19;117432.174;560052.919;-1.392;2
L100024;2021-09-19;15:08:20;117431.2;560053.165;-1.359;2
L100025;2021-09-19;15:08:21;117430.327;560053.561;-1.289;2
L100026;2021-09-19;15:08:22;117429.31;560053.89;-1.24;2
L100027;2021-09-19;15:08:23;117428.313;560054.152;-1.184;2
L100028;2021-09-19;15:08:24;117427.359;560054.448;-1.154;2
L100029;2021-09-19;15:08:25;117426.174;560054.93;-1.082;2
L100030;2021-09-19;15:08:26;117425.119;560055.483;-1.05;2
L100031;2021-09-19;15:08:27;117424.084;560055.878;-0.935;2
L100032;2021-09-19;15:08:28;117423.074;560056.235;-0.835;2
L100033;2021-09-19;15:08:29;117422.119;560056.664;-0.698;2
L100034;2021-09-19;15:08:30;117421.017;560057.086;-0.593;2
L100035;2021-09-19;15:08:31;117419.502;560057.867;-0.376;2
L100036;2021-09-19;15:08:32;117418.359;560058.766;-0.213;2
L100037;2021-09-19;15:08:33;117417.064;560059.62;-0.056;2
L100038;2021-09-19;15:08:34;117415.711;560060.189;0.094;2
L100039;2021-09-19;15:08:35;117414.396;560060.753;0.219;2
L100040;2021-09-19;15:08:36;117413.134;560061.558;0.389;2
L100041;2021-09-19;15:08:37;117411.916;560062.294;0.55;2
L100042;2021-09-19;15:08:38;117410.642;560062.91;0.711;2
L100043;2021-09-19;15:08:39;117409.522;560063.561;0.885;2
L100044;2021-09-19;15:08:40;117408.37;560064.314;1.004;2
L100045;2021-09-19;15:08:41;117407.303;560065.19;0.99;2
L100046;2021-09-19;15:08:42;117406.211;560066.007;0.868;2
L100047;2021-09-19;15:08:43;117404.987;560066.904;0.867;2
L100048;2021-09-19;15:08:44;117403.775;560067.734;0.965;2
L100049;2021-09-19;15:08:45;117402.653;560068.46;0.94;2
L100050;2021-09-19;15:08:46;117401.665;560069.07;0.971;2
L100051;2021-09-19;15:08:47;117400.195;560069.917;0.941;2
L100052;2021-09-19;15:08:48;117399.184;560070.49;0.824;2
L100053;2021-09-19;15:08:49;117397.503;560071.326;0.761;2
L100054;2021-09-19;15:08:50;117396.53;560071.98;0.733;2
L100055;2021-09-19;15:08:51;117395.094;560073.013;0.694;2
L100056;2021-09-19;15:08:52;117394.089;560073.661;0.686;2
L100057;2021-09-19;15:08:53;117392.585;560074.543;0.744;2
L100058;2021-09-19;15:08:54;117391.451;560075.184;0.938;2
L100059;2021-09-19;15:08:55;117390.902;560075.495;0.968;2
L200001;2021-09-19;14:50:57;117241.407;559778.314;-1.432;2
L200002;2021-09-19;14:50:58;117241.024;559778.833;-1.435;2
L200003;2021-09-19;14:50:58;117240.533;559779.21;-1.424;2
L200004;2021-09-19;14:51:00;117239.688;559779.895;-1.422;2
L200005;2021-09-19;14:51:01;117239.172;559780.511;-1.401;2
L200006;2021-09-19;14:51:02;117238.523;559781.179;-1.416;2
L200007;2021-09-19;14:51:03;117237.719;559781.851;-1.398;2
L200008;2021-09-19;14:51:04;117236.99;559782.451;-1.404;2
L200009;2021-09-19;14:51:05;117236.284;559783.108;-1.392;2
L200010;2021-09-19;14:51:06;117235.605;559783.757;-1.412;2
