Point ID;GNSS Position SoLution.Start Time;;Easting;Northing;ELevation;GNSS Position SoLution.Antenna Height
L400001;23-9-2021 16:45;;116123.093;558921.71;-1.317;2
L400002;23-9-2021 16:45;;116123.136;558921.9;-1.306;2
L400003;23-9-2021 16:45;;116122.881;558922.142;-1.291;2
L400004;23-9-2021 16:45;;116122.493;558922.63;-1.275;2
L400005;23-9-2021 16:45;;116121.987;558923.417;-1.267;2
L400006;23-9-2021 16:45;;116121.651;558923.886;-1.259;2
L400007;23-9-2021 16:45;;116121.363;558924.4;-1.245;2
L400008;23-9-2021 16:45;;116121.013;558925.018;-1.236;2
L400009;23-9-2021 16:45;;116119.996;558926.536;-1.219;2
L400010;23-9-2021 16:45;;116119.663;558927.1;-1.187;2
L400011;23-9-2021 16:45;;116119.288;558927.701;-1.198;2
L400012;23-9-2021 16:46;;116118.504;558928.759;-1.168;2
L400013;23-9-2021 16:46;;116116.422;558931.882;-1.115;2
L400014;23-9-2021 16:46;;116115.945;558932.622;-1.11;2
L400015;23-9-2021 16:46;;116115.387;558933.4;-1.115;2
L400016;23-9-2021 16:46;;116114.633;558934.502;-1.081;2
L400017;23-9-2021 16:46;;116114.003;558935.443;-1.072;2
L400018;23-9-2021 16:46;;116113.603;558935.993;-1.08;2
L400019;23-9-2021 16:46;;116113.359;558936.535;-1.055;2
L400020;23-9-2021 16:46;;116113.028;558936.999;-1.059;2
L400021;23-9-2021 16:46;;116112.678;558937.557;-1.06;2
L400022;23-9-2021 16:46;;116112.224;558938.002;-1.029;2
L400023;23-9-2021 16:46;;116111.932;558938.428;-1.02;2
L400024;23-9-2021 16:46;;116111.431;558939.144;-1.031;2
L400025;23-9-2021 16:46;;116111.031;558939.578;-1.023;2
L400026;23-9-2021 16:46;;116110.569;558940.246;-1.009;2
L400027;23-9-2021 16:46;;116110.212;558940.815;-1.014;2
L400028;23-9-2021 16:46;;116109.712;558941.355;-1.011;2
L400029;23-9-2021 16:46;;116109.296;558941.87;-1.015;2
L400030;23-9-2021 16:46;;116109.046;558942.48;-1.009;2
L400031;23-9-2021 16:46;;116108.704;558943.015;-0.982;2
L400032;23-9-2021 16:46;;116108.34;558943.66;-0.995;2
L400033;23-9-2021 16:46;;116107.933;558944.287;-0.986;2
L400034;23-9-2021 16:46;;116107.492;558944.784;-0.981;2
L400035;23-9-2021 16:46;;116107.201;558945.292;-0.972;2
L400036;23-9-2021 16:46;;116106.764;558945.863;-0.958;2
L400037;23-9-2021 16:46;;116106.305;558946.54;-0.947;2
L400038;23-9-2021 16:46;;116105.878;558947.049;-0.915;2
L400039;23-9-2021 16:46;;116105.577;558947.51;-0.846;2
L400040;23-9-2021 16:46;;116105.313;558947.953;-0.778;2
L400041;23-9-2021 16:46;;116104.951;558948.404;-0.734;2
L400042;23-9-2021 16:46;;116104.551;558948.997;-0.67;2
L400043;23-9-2021 16:46;;116104.315;558949.427;-0.527;2
L400044;23-9-2021 16:46;;116104.116;558950.001;-0.467;2
L400045;23-9-2021 16:46;;116103.932;558950.546;-0.391;2
L400046;23-9-2021 16:46;;116103.592;558951.282;-0.287;2
L400047;23-9-2021 16:46;;116103.115;558952.058;-0.179;2
L400048;23-9-2021 16:46;;116102.585;558952.852;-0.087;2
L400049;23-9-2021 16:46;;116101.803;558953.709;0.019;2
L400050;23-9-2021 16:46;;116101.024;558954.616;0.102;2
L400051;23-9-2021 16:46;;116100.227;558955.602;0.165;2
L400052;23-9-2021 16:46;;116099.494;558956.553;0.208;2
L400053;23-9-2021 16:46;;116098.7;558957.582;0.246;2
L400054;23-9-2021 16:46;;116097.953;558958.633;0.322;2
L400055;23-9-2021 16:46;;116097.159;558959.681;0.428;2
L400056;23-9-2021 16:46;;116096.383;558960.711;0.537;2
L400057;23-9-2021 16:46;;116095.643;558961.774;0.64;2
L400058;23-9-2021 16:46;;116094.852;558962.726;0.742;2
L400059;23-9-2021 16:46;;116094.177;558963.736;0.807;2
L400060;23-9-2021 16:46;;116093.466;558964.743;0.863;2
L400061;23-9-2021 16:46;;116092.641;558965.667;0.866;2
L400062;23-9-2021 16:46;;116091.954;558966.524;0.761;2
L400063;23-9-2021 16:46;;116091.283;558967.618;0.79;2
L400064;23-9-2021 16:46;;116090.749;558968.523;0.964;2
L400065;23-9-2021 16:47;;116090.086;558969.498;1.108;2
L400066;23-9-2021 16:47;;116089.415;558970.326;1.21;2
L400067;23-9-2021 16:47;;116088.739;558971.155;1.301;2
L400068;23-9-2021 16:47;;116087.984;558972.176;1.341;2
L400069;23-9-2021 16:47;;116087.393;558973.058;1.432;2
L400070;23-9-2021 16:47;;116086.673;558973.972;1.638;2
L400071;23-9-2021 16:47;;116086.06;558974.658;1.931;2
L400072;23-9-2021 16:47;;116085.452;558975.334;2.198;2
L400073;23-9-2021 16:47;;116084.685;558976.29;2.293;2
L400074;23-9-2021 16:47;;116084.02;558977.225;2.295;2
L400075;23-9-2021 16:47;;116083.296;558978.185;2.286;2
L400076;23-9-2021 16:47;;116082.713;558979.175;2.304;2
L400077;23-9-2021 16:47;;116081.905;558980.218;2.308;2
L400078;23-9-2021 16:47;;116081.1;558981.184;2.384;2
L400079;23-9-2021 16:47;;116080.388;558982.125;2.373;2
L400080;23-9-2021 16:47;;116079.657;558983.122;2.406;2
