Point ID;Date;Time;Easting;Northing;ELevation;GNSS Position SoLution.Antenna Height;
L600001;3-10-2021;11:24:09;115472.309;558175.232;-1.427;2;
L600002;3-10-2021;11:24:10;115471.963;558175.461;-1.416;2;
L600003;3-10-2021;11:24:11;115471.513;558175.808;-1.414;2;
L600004;3-10-2021;11:24:12;115471.099;558176.136;-1.415;2;
L600005;3-10-2021;11:24:13;115470.655;558176.463;-1.419;2;
L600006;3-10-2021;11:24:14;115470.249;558176.832;-1.4;2;
L600007;3-10-2021;11:24:15;115469.916;558177.2;-1.415;2;
L600008;3-10-2021;11:24:16;115469.412;558177.602;-1.394;2;
L600009;3-10-2021;11:24:17;115469.005;558177.914;-1.392;2;
L600010;3-10-2021;11:24:18;115468.497;558178.235;-1.411;2;
L600011;3-10-2021;11:24:19;115468.132;558178.449;-1.392;2;
L600012;3-10-2021;11:24:20;115467.736;558178.815;-1.401;2;
L600013;3-10-2021;11:24:21;115467.347;558179.214;-1.389;2;
L600014;3-10-2021;11:24:22;115466.943;558179.549;-1.388;2;
L600015;3-10-2021;11:24:23;115466.51;558179.906;-1.389;2;
L600016;3-10-2021;11:24:24;115466.047;558180.252;-1.387;2;
L600017;3-10-2021;11:24:25;115465.554;558180.609;-1.38;2;
L600018;3-10-2021;11:24:26;115465.15;558181.034;-1.373;2;
L600019;3-10-2021;11:24:27;115464.813;558181.362;-1.391;2;
L600020;3-10-2021;11:24:28;115464.382;558181.773;-1.369;2;
L600021;3-10-2021;11:24:29;115463.919;558182.126;-1.379;2;
L600022;3-10-2021;11:24:30;115463.47;558182.488;-1.362;2;
L600023;3-10-2021;11:24:31;115462.953;558182.91;-1.37;2;
L600024;3-10-2021;11:24:32;115462.49;558183.295;-1.355;2;
L600025;3-10-2021;11:24:33;115462;558183.621;-1.375;2;
L600026;3-10-2021;11:24:34;115461.654;558184.009;-1.36;2;
L600027;3-10-2021;11:24:35;115461.163;558184.31;-1.361;2;
L600028;3-10-2021;11:24:36;115460.569;558184.666;-1.355;2;
L600029;3-10-2021;11:24:37;115460.067;558185.045;-1.335;2;
L600030;3-10-2021;11:24:38;115459.561;558185.414;-1.337;2;
L600031;3-10-2021;11:24:39;115459.072;558185.786;-1.337;2;
L600032;3-10-2021;11:24:40;115458.552;558186.177;-1.325;2;
L600033;3-10-2021;11:24:41;115458.113;558186.526;-1.338;2;
L600034;3-10-2021;11:24:42;115457.627;558186.899;-1.327;2;
L600035;3-10-2021;11:24:43;115457.153;558187.338;-1.326;2;
L600036;3-10-2021;11:24:44;115456.689;558187.748;-1.314;2;
L600037;3-10-2021;11:24:45;115456.104;558188.142;-1.31;2;
L600038;3-10-2021;11:24:46;115455.645;558188.532;-1.316;2;
L600039;3-10-2021;11:24:47;115455.193;558188.928;-1.301;2;
L600040;3-10-2021;11:24:48;115454.75;558189.415;-1.321;2;
L600041;3-10-2021;11:24:49;115454.223;558189.787;-1.297;2;
L600042;3-10-2021;11:24:50;115453.766;558190.243;-1.304;2;
L600043;3-10-2021;11:24:51;115453.241;558190.657;-1.3;2;
L600044;3-10-2021;11:24:52;115452.741;558191.034;-1.305;2;
L600045;3-10-2021;11:24:53;115452.267;558191.462;-1.287;2;
L600046;3-10-2021;11:24:54;115451.771;558191.792;-1.291;2;
L600047;3-10-2021;11:24:55;115451.298;558192.175;-1.297;2;
L600048;3-10-2021;11:24:56;115450.862;558192.676;-1.297;2;
L600049;3-10-2021;11:24:57;115450.285;558193.07;-1.282;2;
L600050;3-10-2021;11:24:58;115449.835;558193.458;-1.279;2;
L600051;3-10-2021;11:24:59;115449.275;558193.858;-1.274;2;
L600052;3-10-2021;11:25:00;115448.731;558194.304;-1.27;2;
L600053;3-10-2021;11:25:01;115448.238;558194.778;-1.254;2;
L600054;3-10-2021;11:25:02;115447.713;558195.198;-1.267;2;
L600055;3-10-2021;11:25:03;115447.151;558195.546;-1.261;2;
L600056;3-10-2021;11:25:04;115446.668;558196.017;-1.252;2;
L600057;3-10-2021;11:25:05;115446.116;558196.441;-1.257;2;
L600058;3-10-2021;11:25:06;115445.605;558196.832;-1.262;2;
L600059;3-10-2021;11:25:07;115445.115;558197.314;-1.255;2;
L600060;3-10-2021;11:25:08;115444.642;558197.784;-1.238;2;
L600061;3-10-2021;11:25:09;115444.106;558198.131;-1.228;2;
L600062;3-10-2021;11:25:10;115443.686;558198.581;-1.226;2;
L600063;3-10-2021;11:25:11;115443.115;558198.998;-1.225;2;
L600064;3-10-2021;11:25:12;115442.704;558199.526;-1.225;2;
L600065;3-10-2021;11:25:13;115442.368;558199.709;-1.216;2;
L600066;3-10-2021;11:25:14;115442.297;558199.72;-1.218;2;
L600067;3-10-2021;11:25:15;115442.323;558199.768;-1.222;2;
L600068;3-10-2021;11:25:16;115442.145;558199.864;-1.203;2;
