Point ID;Date;Time;Easting;Northing;Elevation
L600001;5-10-2021;13:47:42;115442.774;558199.579;-1.227
L600002;5-10-2021;13:47:43;115442.592;558199.697;-1.21
L600003;5-10-2021;13:47:44;115441.81;558200.03;-1.193
L600004;5-10-2021;13:47:45;115441.045;558200.329;-1.192
L600005;5-10-2021;13:47:46;115440.276;558200.807;-1.197
L600006;5-10-2021;13:47:47;115439.525;558201.336;-1.185
L600007;5-10-2021;13:47:48;115438.895;558201.812;-1.175
L600008;5-10-2021;13:47:49;115438.161;558202.241;-1.179
L600009;5-10-2021;13:47:50;115437.362;558202.672;-1.15
L600010;5-10-2021;13:47:51;115436.557;558203.178;-1.175
L600011;5-10-2021;13:47:52;115435.945;558203.782;-1.129
L600012;5-10-2021;13:47:53;115435.179;558204.273;-1.129
L600013;5-10-2021;13:47:54;115434.435;558204.664;-1.145
L600014;5-10-2021;13:47:55;115433.681;558205.207;-1.154
L600015;5-10-2021;13:47:56;115432.893;558205.721;-1.112
L600016;5-10-2021;13:47:57;115432.054;558206.325;-1.113
L600017;5-10-2021;13:47:58;115431.263;558206.858;-1.095
L600018;5-10-2021;13:47:59;115430.482;558207.396;-1.093
L600019;5-10-2021;13:48:00;115429.791;558208.038;-1.09
L600020;5-10-2021;13:48:01;115429.102;558208.64;-1.094
L600021;5-10-2021;13:48:02;115428.255;558209.116;-1.069
L600022;5-10-2021;13:48:03;115427.488;558209.528;-1.078
L600023;5-10-2021;13:48:04;115426.746;558210.16;-1.062
L600024;5-10-2021;13:48:05;115425.986;558210.84;-1.071
L600025;5-10-2021;13:48:06;115425.033;558211.636;-1.05
L600026;5-10-2021;13:48:07;115424.312;558212.065;-1.036
L600027;5-10-2021;13:48:08;115423.596;558212.69;-1.038
L600028;5-10-2021;13:48:09;115422.773;558213.397;-1.03
L600029;5-10-2021;13:48:10;115421.938;558213.888;-1.028
L600030;5-10-2021;13:48:11;115420.803;558214.478;-1.023
L600031;5-10-2021;13:48:12;115419.935;558215.212;-0.997
L600032;5-10-2021;13:48:13;115419.274;558215.67;-1.005
L600033;5-10-2021;13:48:14;115418.406;558216.33;-0.983
L600034;5-10-2021;13:48:15;115417.442;558217.006;-1.007
L600035;5-10-2021;13:48:16;115416.435;558217.529;-0.958
L600036;5-10-2021;13:48:17;115415.632;558218.094;-0.961
L600037;5-10-2021;13:48:18;115414.683;558218.745;-0.937
L600038;5-10-2021;13:48:19;115413.86;558219.366;-0.945
L600039;5-10-2021;13:48:20;115412.904;558219.886;-0.93
L600040;5-10-2021;13:48:21;115412.019;558220.475;-0.93
L600041;5-10-2021;13:48:22;115411.242;558221.298;-0.899
L600042;5-10-2021;13:48:23;115410.329;558222.057;-0.881
L600043;5-10-2021;13:48:24;115409.399;558222.732;-0.864
L600044;5-10-2021;13:48:25;115408.425;558223.265;-0.839
L600045;5-10-2021;13:48:26;115407.344;558223.89;-0.83
L600046;5-10-2021;13:48:27;115406.279;558224.563;-0.826
L600047;5-10-2021;13:48:28;115405.243;558225.283;-0.772
L600048;5-10-2021;13:48:29;115404.281;558226.119;-0.743
L600049;5-10-2021;13:48:30;115403.218;558226.766;-0.723
L600050;5-10-2021;13:48:31;115402.065;558227.501;-0.72
L600051;5-10-2021;13:48:32;115400.991;558228.298;-0.698
L600052;5-10-2021;13:48:33;115400;558229.245;-0.667
L600053;5-10-2021;13:48:34;115398.969;558230.134;-0.645
L600054;5-10-2021;13:48:35;115397.86;558231.126;-0.626
L600055;5-10-2021;13:48:36;115396.685;558232.241;-0.575
L600056;5-10-2021;13:48:37;115395.458;558233.271;-0.53
L600057;5-10-2021;13:48:38;115394.233;558234.231;-0.49
L600058;5-10-2021;13:48:39;115393.006;558235.259;-0.424
L600059;5-10-2021;13:48:40;115391.888;558236.243;-0.394
L600060;5-10-2021;13:48:41;115390.604;558237.214;-0.349
L600061;5-10-2021;13:48:42;115389.39;558238.043;-0.326
L600062;5-10-2021;13:48:43;115388.179;558239.03;-0.318
L600063;5-10-2021;13:48:44;115386.878;558239.989;-0.321
L600064;5-10-2021;13:48:45;115385.577;558240.929;-0.356
L600065;5-10-2021;13:48:46;115384.34;558241.852;-0.388
L600066;5-10-2021;13:48:47;115383.161;558242.823;-0.369
L600067;5-10-2021;13:48:48;115381.928;558243.847;-0.375
L600068;5-10-2021;13:48:49;115380.769;558244.93;-0.381
L600069;5-10-2021;13:48:50;115379.535;558245.984;-0.385
L600070;5-10-2021;13:48:51;115378.3;558247.147;-0.372
L600071;5-10-2021;13:48:52;115377.105;558248.218;-0.37
L600072;5-10-2021;13:48:53;115375.967;558249.322;-0.35
L600073;5-10-2021;13:48:54;115374.833;558250.372;-0.353
L600074;5-10-2021;13:48:55;115373.7;558251.428;-0.34
L600075;5-10-2021;13:48:56;115372.513;558252.489;-0.331
L600076;5-10-2021;13:48:57;115371.37;558253.551;-0.322
L600077;5-10-2021;13:48:58;115370.198;558254.658;-0.329
L600078;5-10-2021;13:48:59;115368.993;558255.798;-0.242
L600079;5-10-2021;13:49:00;115367.766;558257.045;-0.058
L600080;5-10-2021;13:49:01;115366.621;558257.996;0.125
L600081;5-10-2021;13:49:02;115365.358;558258.942;0.325
L600082;5-10-2021;13:49:03;115364.234;558260.063;0.486
L600083;5-10-2021;13:49:04;115362.889;558260.865;0.638
L600084;5-10-2021;13:49:05;115361.603;558261.875;0.77
L600085;5-10-2021;13:49:06;115360.341;558262.916;0.964
L600086;5-10-2021;13:49:07;115359.241;558263.862;1.21
L600087;5-10-2021;13:49:08;115358.073;558264.852;1.325
L600088;5-10-2021;13:49:09;115356.865;558265.814;1.444
L600089;5-10-2021;13:49:10;115356.188;558266.399;1.496
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
