Point ID;Date;Time;Easting;Northing;Elevation
X260001         ;5-10-2021;11:11:29;117427.03;560205.81;1.115
X260002         ;5-10-2021;11:11:30;117427.07;560205.82;1.114
X260003         ;5-10-2021;11:11:31;117427.26;560206.02;1.056
X260004         ;5-10-2021;11:11:32;117427.98;560206.65;0.954
X260005         ;5-10-2021;11:11:33;117428.97;560207.24;0.917
X260006         ;5-10-2021;11:11:34;117429.93;560207.94;0.892
X260007         ;5-10-2021;11:11:35;117430.82;560208.69;0.738
X260008         ;5-10-2021;11:11:36;117431.75;560209.51;0.632
X260009         ;5-10-2021;11:11:37;117432.86;560210.24;0.585
X260010         ;5-10-2021;11:11:38;117433.92;560210.89;0.539
X260011         ;5-10-2021;11:11:39;117434.89;560211.55;0.489
X260012         ;5-10-2021;11:11:40;117435.91;560212.27;0.431
X260013         ;5-10-2021;11:11:41;117436.92;560213.01;0.379
X260014         ;5-10-2021;11:11:42;117437.95;560213.72;0.322
X260015         ;5-10-2021;11:11:43;117438.99;560214.33;0.251
X260016         ;5-10-2021;11:11:44;117440.11;560214.95;0.149
X260017         ;5-10-2021;11:11:45;117441.24;560215.53;0.07
X260018         ;5-10-2021;11:11:46;117442.32;560216.05;-0.022
X260019         ;5-10-2021;11:11:47;117443.35;560216.59;-0.072
X260020         ;5-10-2021;11:11:48;117444.35;560217.14;-0.143
X260021         ;5-10-2021;11:11:49;117445.3;560217.66;-0.219
X260022         ;5-10-2021;11:11:50;117446.16;560218.15;-0.306
X260023         ;5-10-2021;11:11:51;117446.84;560218.63;-0.373
X260024         ;5-10-2021;11:11:52;117447.39;560219.07;-0.549
X260025         ;5-10-2021;11:11:53;117447.78;560219.49;-0.707
X260026         ;5-10-2021;11:11:54;117448.14;560219.88;-0.794
X260027         ;5-10-2021;11:11:55;117448.43;560220.26;-0.856
X260028         ;5-10-2021;11:11:56;117448.9;560220.38;-0.86
X260029         ;5-10-2021;11:11:57;117449.31;560220.78;-0.906
X260030         ;5-10-2021;11:11:58;117449.86;560220.94;-0.937
X260031         ;5-10-2021;11:11:59;117450.43;560221.32;-0.945
X260032         ;5-10-2021;11:12:00;117450.8;560221.56;-0.959
X260033         ;5-10-2021;11:12:01;117451.24;560221.72;-0.955
X260034         ;5-10-2021;11:12:02;117451.71;560222.05;-0.973
X260035         ;5-10-2021;11:12:03;117452.1;560222.36;-1.016
X260036         ;5-10-2021;11:12:04;117452.54;560222.48;-1.026
X260037         ;5-10-2021;11:12:05;117453.02;560222.79;-1.025
X260038         ;5-10-2021;11:12:06;117453.37;560223.01;-1.062
X260039         ;5-10-2021;11:12:07;117453.95;560223.27;-1.061
X260040         ;5-10-2021;11:12:08;117454.25;560223.65;-1.071
X260041         ;5-10-2021;11:12:09;117454.72;560223.82;-1.084
X260042         ;5-10-2021;11:12:10;117455.2;560224.14;-1.121
X260043         ;5-10-2021;11:12:11;117455.63;560224.51;-1.121
X260044         ;5-10-2021;11:12:12;117456.1;560224.7;-1.097
X260045         ;5-10-2021;11:12:13;117456.49;560225.01;-1.102
X260046         ;5-10-2021;11:12:14;117456.93;560225.26;-1.09
X260047         ;5-10-2021;11:12:15;117457.36;560225.5;-1.094
X260048         ;5-10-2021;11:12:16;117457.77;560225.77;-1.092
X260049         ;5-10-2021;11:12:17;117458.18;560226.07;-1.084
X260050         ;5-10-2021;11:12:18;117458.51;560226.32;-1.108
X260051         ;5-10-2021;11:12:19;117459.01;560226.41;-1.083
X260052         ;5-10-2021;11:12:20;117459.38;560226.7;-1.094
X260053         ;5-10-2021;11:12:21;117459.79;560227;-1.083
X260054         ;5-10-2021;11:12:22;117460.28;560227.23;-1.092
X260055         ;5-10-2021;11:12:23;117460.84;560227.4;-1.102
X260056         ;5-10-2021;11:12:24;117461.29;560227.75;-1.087
X260057         ;5-10-2021;11:12:25;117461.78;560228;-1.064
X260058         ;5-10-2021;11:12:26;117462.22;560228.2;-1.088
X260059         ;5-10-2021;11:12:27;117462.65;560228.63;-1.084
X260060         ;5-10-2021;11:12:28;117463.13;560228.98;-1.075
X260061         ;5-10-2021;11:12:29;117463.59;560229.41;-1.09
X260062         ;5-10-2021;11:12:30;117464.01;560229.81;-1.095
X260063         ;5-10-2021;11:12:31;117464.45;560230.12;-1.097
X260064         ;5-10-2021;11:12:32;117464.85;560230.39;-1.095
X260065         ;5-10-2021;11:12:33;117465.25;560230.75;-1.083
X260066         ;5-10-2021;11:12:34;117465.66;560230.87;-1.083
