Point ID;Date;Time;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;10-10-2021;17:45:09;117385.651;560067.795;0.953;1.5
L100002;10-10-2021;17:45:10;117385.688;560067.724;0.952;1.5
L100003;10-10-2021;17:45:11;117386.418;560067.532;0.912;1.5
L100004;10-10-2021;17:45:12;117387.482;560066.906;0.752;1.5
L100005;10-10-2021;17:45:13;117388.887;560066.132;0.732;1.5
L100006;10-10-2021;17:45:14;117390.194;560065.52;0.694;1.5
L100007;10-10-2021;17:45:15;117391.606;560064.948;0.686;1.5
L100008;10-10-2021;17:45:16;117392.994;560064.409;0.701;1.5
L100009;10-10-2021;17:45:17;117394.304;560063.863;0.78;1.5
L100010;10-10-2021;17:45:18;117395.488;560063.371;1.011;1.5
L100011;10-10-2021;17:45:19;117396.587;560062.841;1;1.5
L100012;10-10-2021;17:45:20;117397.812;560062.27;0.99;1.5
L100013;10-10-2021;17:45:21;117399.236;560061.763;0.931;1.5
L100014;10-10-2021;17:45:22;117400.635;560061.296;0.862;1.5
L100015;10-10-2021;17:45:23;117401.963;560060.787;0.768;1.5
L100016;10-10-2021;17:45:24;117403.402;560060.305;0.639;1.5
L100017;10-10-2021;17:45:25;117404.83;560059.771;0.571;1.5
L100018;10-10-2021;17:45:26;117406.128;560059.311;0.48;1.5
L100019;10-10-2021;17:45:27;117407.416;560058.845;0.41;1.5
L100020;10-10-2021;17:45:28;117408.865;560058.374;0.354;1.5
L100021;10-10-2021;17:45:29;117410.188;560057.934;0.378;1.5
L100022;10-10-2021;17:45:30;117411.571;560057.541;0.278;1.5
L100023;10-10-2021;17:45:31;117412.908;560057.044;0.204;1.5
L100024;10-10-2021;17:45:32;117414.3;560056.571;0.106;1.5
L100025;10-10-2021;17:45:33;117415.688;560056.17;0.016;1.5
L100026;10-10-2021;17:45:34;117417.126;560055.753;-0.049;1.5
L100027;10-10-2021;17:45:35;117418.488;560055.3;-0.168;1.5
L100028;10-10-2021;17:45:36;117419.823;560054.869;-0.313;1.5
L100029;10-10-2021;17:45:37;117421.169;560054.425;-0.442;1.5
L100030;10-10-2021;17:45:38;117422.51;560053.983;-0.627;1.5
L100031;10-10-2021;17:45:39;117423.814;560053.559;-0.791;1.5
L100032;10-10-2021;17:45:40;117424.937;560053.157;-0.916;1.5
L100033;10-10-2021;17:45:41;117425.824;560052.87;-1.028;1.5
L100034;10-10-2021;17:45:42;117426.641;560052.626;-1.14;1.5
L100035;10-10-2021;17:45:43;117427.291;560052.271;-1.243;1.5
L100036;10-10-2021;17:45:44;117427.986;560052.09;-1.29;1.5
L100037;10-10-2021;17:45:45;117428.713;560051.803;-1.326;1.5
L100038;10-10-2021;17:45:46;117429.408;560051.555;-1.335;1.5
L100039;10-10-2021;17:45:47;117430.153;560051.365;-1.379;1.5
L100040;10-10-2021;17:45:48;117430.781;560051.093;-1.403;1.5
L100041;10-10-2021;17:45:49;117431.437;560050.88;-1.398;1.5
L100042;10-10-2021;17:45:50;117431.998;560050.591;-1.437;1.5
L100043;10-10-2021;17:45:51;117432.578;560050.405;-1.505;1.5
L100044;10-10-2021;17:45:52;117433.177;560050.044;-1.444;1.5
L100045;10-10-2021;17:45:53;117433.846;560049.851;-1.469;1.5
L100046;10-10-2021;17:45:54;117434.4;560049.654;-1.496;1.5
L100047;10-10-2021;17:45:55;117434.965;560049.482;-1.484;1.5
L100048;10-10-2021;17:45:56;117435.586;560049.231;-1.471;1.5
L100049;10-10-2021;17:45:57;117436.178;560048.976;-1.494;1.5
L100050;10-10-2021;17:45:58;117436.798;560048.704;-1.482;1.5
L100051;10-10-2021;17:45:59;117437.435;560048.537;-1.475;1.5
L100052;10-10-2021;17:46:00;117438.018;560048.287;-1.471;1.5
L100053;10-10-2021;17:46:01;117438.596;560048.021;-1.468;1.5
L100054;10-10-2021;17:46:02;117439.098;560047.757;-1.464;1.5
L100055;10-10-2021;17:46:03;117439.669;560047.712;-1.487;1.5
L100056;10-10-2021;17:46:04;117440.254;560047.465;-1.44;1.5
L100057;10-10-2021;17:46:05;117440.698;560047.409;-1.436;1.5
L100058;10-10-2021;17:46:06;117441.033;560047.294;-1.435;1.5
L200001;10-10-2021;17:22:11;117175.031;559840.821;1.416;1.5
L200002;10-10-2021;17:22:12;117175.008;559840.882;1.426;1.5
L200003;10-10-2021;17:22:13;117174.98;559840.816;1.414;1.5
L200004;10-10-2021;17:22:14;117175.513;559840.265;1.391;1.5
L200005;10-10-2021;17:22:15;117176.232;559839.47;1.37;1.5
L200006;10-10-2021;17:22:16;117177.024;559838.636;1.331;1.5
L200007;10-10-2021;17:22:17;117177.948;559837.84;1.258;1.5
L200008;10-10-2021;17:22:18;117178.877;559836.935;1.162;1.5
L200009;10-10-2021;17:22:19;117179.861;559835.999;1.162;1.5
L200010;10-10-2021;17:22:20;117180.768;559835.138;1.058;1.5
L200011;10-10-2021;17:22:21;117181.716;559834.235;1.108;1.5
L200012;10-10-2021;17:22:22;117182.495;559833.455;1.103;1.5
L200013;10-10-2021;17:22:23;117183.377;559832.611;1.026;1.5
L200014;10-10-2021;17:22:24;117184.266;559831.661;0.922;1.5
L200015;10-10-2021;17:22:25;117185.144;559830.721;0.837;1.5
L200016;10-10-2021;17:22:26;117185.968;559829.802;0.73;1.5
L200017;10-10-2021;17:22:27;117186.832;559828.807;0.611;1.5
L200018;10-10-2021;17:22:28;117187.644;559827.899;0.542;1.5
L200019;10-10-2021;17:22:29;117188.492;559827.031;0.496;1.5
L200020;10-10-2021;17:22:30;117189.361;559826.199;0.422;1.5
L200021;10-10-2021;17:22:31;117190.134;559825.419;0.452;1.5
L200022;10-10-2021;17:22:32;117190.982;559824.563;0.424;1.5
L200023;10-10-2021;17:22:33;117191.715;559823.861;0.348;1.5
L200024;10-10-2021;17:22:34;117192.581;559823.134;0.255;1.5
L200025;10-10-2021;17:22:35;117193.426;559822.365;0.206;1.5
L200026;10-10-2021;17:22:36;117194.227;559821.656;0.08;1.5
L200027;10-10-2021;17:22:37;117195.021;559820.981;-0.008;1.5
L200028;10-10-2021;17:22:38;117195.914;559820.308;-0.094;1.5
L200029;10-10-2021;17:22:39;117196.831;559819.636;-0.168;1.5
L200030;10-10-2021;17:22:40;117197.768;559818.966;-0.31;1.5
L200031;10-10-2021;17:22:41;117198.63;559818.214;-0.418;1.5
L200032;10-10-2021;17:22:42;117199.307;559817.389;-0.552;1.5
L200033;10-10-2021;17:22:43;117200.066;559816.596;-0.697;1.5
L200034;10-10-2021;17:22:44;117200.707;559815.976;-0.817;1.5
L200035;10-10-2021;17:22:45;117201.157;559815.435;-0.931;1.5
L200036;10-10-2021;17:22:46;117201.658;559815.126;-1.004;1.5
L200037;10-10-2021;17:22:47;117202.051;559814.759;-1.077;1.5
L200038;10-10-2021;17:22:48;117202.391;559814.324;-1.131;1.5
L200039;10-10-2021;17:22:49;117202.851;559813.935;-1.202;1.5
L200040;10-10-2021;17:22:50;117203.233;559813.48;-1.232;1.5
L200041;10-10-2021;17:22:51;117203.696;559813.144;-1.241;1.5
L200042;10-10-2021;17:22:52;117204.1;559812.693;-1.23;1.5
L200043;10-10-2021;17:22:53;117204.545;559812.327;-1.242;1.5
