Point ID;GNSS Position Solution.Start Time;;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;15-10-2021 10:52;;117384.396;560069.622;1.065;2
L100002;15-10-2021 10:52;;117384.736;560069.419;1.04;2
L100003;15-10-2021 10:52;;117385.761;560068.995;1.001;2
L100004;15-10-2021 10:52;;117386.909;560068.534;0.951;2
L100005;15-10-2021 10:52;;117388.059;560068.008;0.778;2
L100006;15-10-2021 10:52;;117389.424;560067.383;0.746;2
L100007;15-10-2021 10:52;;117390.667;560066.913;0.719;2
L100008;15-10-2021 10:52;;117391.901;560066.335;0.699;2
L100009;15-10-2021 10:52;;117393.132;560065.717;0.742;2
L100010;15-10-2021 10:52;;117394.425;560065.212;0.776;2
L100011;15-10-2021 10:52;;117395.497;560064.717;0.981;2
L100012;15-10-2021 10:52;;117396.489;560064.273;1.03;2
L100013;15-10-2021 10:52;;117397.555;560063.847;1.055;2
L100014;15-10-2021 10:52;;117398.794;560063.394;1.011;2
L100015;15-10-2021 10:52;;117400.116;560062.883;1.007;2
L100016;15-10-2021 10:52;;117401.342;560062.425;0.964;2
L100017;15-10-2021 10:52;;117402.63;560061.924;0.853;2
L100018;15-10-2021 10:52;;117403.964;560061.402;0.688;2
L100019;15-10-2021 10:52;;117405.261;560060.783;0.481;2
L100020;15-10-2021 10:52;;117406.739;560060.312;0.551;2
L100021;15-10-2021 10:52;;117407.939;560059.829;0.514;2
L100022;15-10-2021 10:52;;117409.243;560059.219;0.428;2
L100023;15-10-2021 10:52;;117410.543;560058.692;0.338;2
L100024;15-10-2021 10:52;;117411.883;560058.237;0.259;2
L100025;15-10-2021 10:52;;117413.213;560057.683;0.224;2
L100026;15-10-2021 10:52;;117414.516;560057.269;0.136;2
L100027;15-10-2021 10:52;;117415.895;560056.751;0.063;2
L100028;15-10-2021 10:52;;117417.135;560056.385;-0.003;2
L100029;15-10-2021 10:52;;117418.43;560056.043;-0.116;2
L100030;15-10-2021 10:52;;117419.631;560055.522;-0.297;2
L100031;15-10-2021 10:52;;117420.757;560054.96;-0.37;2
L100032;15-10-2021 10:52;;117421.761;560054.578;-0.485;2
L100033;15-10-2021 10:52;;117422.681;560054.089;-0.716;2
L100034;15-10-2021 10:52;;117423.649;560053.759;-0.792;2
L100035;15-10-2021 10:52;;117424.262;560053.575;-0.872;2
L100036;15-10-2021 10:52;;117425.084;560053.32;-0.936;2
L100037;15-10-2021 10:52;;117425.788;560053.057;-1.034;2
L100038;15-10-2021 10:52;;117426.589;560052.759;-1.097;2
L100039;15-10-2021 10:52;;117427.355;560052.594;-1.228;2
L100040;15-10-2021 10:52;;117427.995;560052.395;-1.276;2
L100041;15-10-2021 10:52;;117428.593;560052.139;-1.283;2
L100042;15-10-2021 10:52;;117429.201;560051.969;-1.31;2
L100043;15-10-2021 10:52;;117429.778;560051.763;-1.335;2
L100044;15-10-2021 10:52;;117430.303;560051.604;-1.348;2
L100045;15-10-2021 10:53;;117430.785;560051.508;-1.379;2
L100046;15-10-2021 10:53;;117431.303;560051.419;-1.401;2
L100047;15-10-2021 10:53;;117431.816;560051.245;-1.408;2
L100048;15-10-2021 10:53;;117432.174;560051.141;-1.439;2
L100049;15-10-2021 10:53;;117432.676;560050.903;-1.452;2
L100050;15-10-2021 10:53;;117433.189;560050.756;-1.453;2
L100051;15-10-2021 10:53;;117433.601;560050.61;-1.466;2
L100052;15-10-2021 10:53;;117434.071;560050.452;-1.464;2
L100053;15-10-2021 10:53;;117434.52;560050.299;-1.464;2
L100054;15-10-2021 10:53;;117434.847;560050.226;-1.472;2
L100055;15-10-2021 10:53;;117435.151;560050.167;-1.471;2
L100056;15-10-2021 10:53;;117435.503;560049.997;-1.466;2
L100057;15-10-2021 10:53;;117435.939;560049.823;-1.461;2
L100058;15-10-2021 10:53;;117436.333;560049.747;-1.461;2
L100059;15-10-2021 10:53;;117436.735;560049.538;-1.454;2
L100060;15-10-2021 10:53;;117437.114;560049.332;-1.456;2
L100061;15-10-2021 10:53;;117437.422;560049.223;-1.464;2
L100062;15-10-2021 10:53;;117437.879;560048.967;-1.46;2
L100063;15-10-2021 10:53;;117438.313;560048.761;-1.453;2
L100064;15-10-2021 10:53;;117438.696;560048.65;-1.453;2
L100065;15-10-2021 10:53;;117439.148;560048.469;-1.448;2
L100066;15-10-2021 10:53;;117439.515;560048.366;-1.442;2
L100067;15-10-2021 10:53;;117439.932;560048.221;-1.442;2
L100068;15-10-2021 10:53;;117440.349;560047.985;-1.432;2
L100069;15-10-2021 10:53;;117440.824;560047.759;-1.438;2
L100070;15-10-2021 10:53;;117441.268;560047.635;-1.441;2
L100071;15-10-2021 10:53;;117441.724;560047.411;-1.442;2
L100072;15-10-2021 10:53;;117442.138;560047.159;-1.441;2
L100073;15-10-2021 10:53;;117442.569;560047.069;-1.417;2
L100074;15-10-2021 10:53;;117442.988;560046.84;-1.416;2
L100075;15-10-2021 10:53;;117443.432;560046.631;-1.423;2
L100076;15-10-2021 10:53;;117443.894;560046.437;-1.433;2
L100077;15-10-2021 10:53;;117444.326;560046.172;-1.438;2
L100078;15-10-2021 10:53;;117444.866;560046.021;-1.449;2
L100079;15-10-2021 10:53;;117445.184;560045.837;-1.457;2
L100080;15-10-2021 10:53;;117445.538;560045.654;-1.435;2
L100081;15-10-2021 10:53;;117445.802;560045.525;-1.441;2
L200001;15-10-2021 10:34;;117172.83;559845.058;1.51;2
L200002;15-10-2021 10:34;;117172.849;559845.036;1.513;2
L200003;15-10-2021 10:34;;117173.028;559844.834;1.538;2
L200004;15-10-2021 10:34;;117173.589;559844.09;1.514;2
L200005;15-10-2021 10:34;;117174.433;559843.285;1.507;2
L200006;15-10-2021 10:34;;117175.235;559842.437;1.46;2
L200007;15-10-2021 10:34;;117176.187;559841.619;1.383;2
L200008;15-10-2021 10:34;;117177.089;559840.666;1.357;2
L200009;15-10-2021 10:34;;117178.021;559839.779;1.318;2
L200010;15-10-2021 10:34;;117178.935;559838.848;1.28;2
L200011;15-10-2021 10:34;;117179.806;559837.986;1.186;2
L200012;15-10-2021 10:34;;117180.801;559837.188;1.143;2
L200013;15-10-2021 10:34;;117181.624;559836.307;1.079;2
L200014;15-10-2021 10:34;;117182.457;559835.597;1.085;2
L200015;15-10-2021 10:34;;117183.283;559834.789;1.109;2
L200016;15-10-2021 10:34;;117183.97;559833.99;1.083;2
L200017;15-10-2021 10:34;;117184.918;559833.187;1.005;2
L200018;15-10-2021 10:34;;117185.782;559832.285;0.905;2
L200019;15-10-2021 10:34;;117186.767;559831.407;0.791;2
L200020;15-10-2021 10:34;;117187.667;559830.403;0.714;2
L200021;15-10-2021 10:34;;117188.664;559829.486;0.64;2
L200022;15-10-2021 10:34;;117189.638;559828.541;0.584;2
L200023;15-10-2021 10:34;;117190.574;559827.682;0.538;2
L200024;15-10-2021 10:34;;117191.486;559826.746;0.464;2
L200025;15-10-2021 10:35;;117192.528;559825.91;0.37;2
L200026;15-10-2021 10:35;;117193.525;559824.932;0.271;2
L200027;15-10-2021 10:35;;117194.475;559823.947;0.166;2
L200028;15-10-2021 10:35;;117195.476;559822.966;0.064;2
L200029;15-10-2021 10:35;;117196.472;559821.932;-0.036;2
L200030;15-10-2021 10:35;;117197.425;559820.97;-0.141;2
L200031;15-10-2021 10:35;;117198.332;559820.186;-0.256;2
